"gene_name","one_cell.ribo","two_cell.ribo","four_cell.ribo","eight_cell.ribo","one_cell.rna","two_cell.rna","four_cell.rna","eight_cell.rna","WT_one_cell_TE","WT_two_cell_TE","WT_four_cell_TE","WT_eight_cell_TE"
"C01G10.7",-1.68394985153433,-2.00722385241637,-1.65950874326647,-1.71913047228121,-0.601971085603435,0.0977749707485423,-1.04378862775421,-1.3822581800039,-1.0819787659309,-2.10499882316492,-0.615720115512267,-0.336872292277314
"C01G5.5",1.34502729265408,1.10080979778973,0.921025499073404,0.567768539087383,-0.991367680453618,-1.48799003112539,-1.0988346640003,-0.868236498928123,2.3363949731077,2.58879982891512,2.0198601630737,1.43600503801551
"C01G6.3",1.38796410664624,2.21711876952646,1.9787185330533,2.59568456675922,1.44105675512495,1.06665845952063,1.53026376537876,1.48072907420861,-0.05309264847871,1.15046031000583,0.448454767674541,1.11495549255061
"C01G6.4",-1.08196344937136,-2.06300974024493,-1.985360418595,-1.86592430729725,-1.1470116315862,-1.31771482320339,-1.94893206388748,-1.16836258405902,0.0650481822148372,-0.745294917041531,-0.0364283547075204,-0.697561723238232
"C01G6.5",2.56780008060779,2.60291495271342,2.56194927948584,2.53207931152647,1.60609523336073,1.63524603156818,1.68478557377453,1.83003340665195,0.96170484724706,0.967668921145237,0.87716370571131,0.70204590487452
"C01G8.1",-0.341161178909255,-2.16437601727197,-1.82370362736374,-2.1667397866525,2.7848113751847,2.78121102356314,2.40406779509482,2.54688662984705,-3.12597255409396,-4.9455870408351,-4.22777142245856,-4.71362641649955
"C02B10.4",-0.181934313349987,0.523320335958866,1.33789113318486,1.52291375344163,0.0308448465316652,0.564750262323608,0.313253169210705,0.404202189204026,-0.212779159881653,-0.0414299263647423,1.02463796397415,1.11871156423761
"C02B10.5",-0.931911153146193,-1.05667181756114,-1.28659502407204,-1.30164853001541,-0.953317288017956,-0.996021191188866,-1.23394668095733,-0.793507610110283,0.0214061348717631,-0.0606506263722726,-0.0526483431147149,-0.508140919905125
"C02D5.4",0.425804001053723,0.519055594456871,0.251264358452774,0.43567958272991,-0.962238167428374,-0.794842850565446,-0.532766983204364,-0.831425712705714,1.3880421684821,1.31389844502232,0.784031341657138,1.26710529543562
"C02F12.8",0.922611408708072,1.1182077995492,0.776360077399029,0.962635269704432,-0.456318555231874,-0.539091132994224,-0.127637981334238,-0.491935181167514,1.37892996393995,1.65729893254343,0.903998058733267,1.45457045087195
