,P0,AB,P1,ABa,ABp,EMS,P2,ABal,ABar,ABpl,ABpr,MS,E,C,P3,ABalx,ABarx,ABplx,ABprx,MSx,Ex,Cx,D,P4,1-cell,2-cell,4-cell,8-cell,16-cell
nol-10,106.422,149.45,186.938,155.674,162.038,80.078,178.256,103.83,84.682,68.626,48.956,156.405,81.352,105.094,184.224,23.817,23.13666667,82.79909091,40.9925,37.6525,67.592,7.260909091,63.79833333,195.61,106.422,168.194,144.0115,102.8061538,52.02866667
nol-5,275.988,329.374,311.752,355.812,370.326,345.068,423.294,433.658,488.638,514.482,601.252,687.2125,458.174,383.798,502.198,558.79,523.1316667,452.6081818,440.265,301.6633333,450.447,457.3718182,501.765,398.43,275.988,320.563,373.625,504.0987179,452.0448889
nol-6,17.94,10.218,9.686,0.014,0.03,2.334,22.256,0.358,0,0.424,0.406,0,0,5.072,6.17,0,3.148333333,0.812727273,5.395,4.281666667,0.028,10.51363636,3.105,4.363333333,17.94,9.952,6.1585,1.593589744,3.595333333
nol-9,83.074,49.044,83.54,31.76,34.472,77.114,37.914,35.238,15.026,21.314,0.104,138.8625,3.28,55.844,46.018,43.489,47.66833333,1.030909091,1.419166667,21.84416667,9.002,32.13909091,16.86666667,20.87166667,83.074,66.292,45.315,36.91205128,21.85988889
nos-1,73.32,80.762,77.742,22.4,18.066,38.834,109.396,0,0,0.09,0,0,0.09,3.582,107.86,0,0,0,0,0,0,0,27.34666667,49.40833333,73.32,79.252,47.174,14.31051282,5.117
nos-2,458.212,407.304,470.18,302.134,254.84,445.19,491.61,147.094,142.934,96.362,174.558,324.525,197.284,395.9,923.716,33.348,30.83666667,10.05454545,1.688333333,80.64333333,33.759,122.0345455,582.6616667,979.3466667,458.212,438.742,373.4435,299.6753846,142.8235556
nos-3,115.402,107.024,99.648,45.22,54.63,70.368,99.528,39.36,38.392,44.968,31.136,38.36,60.764,76.01,110.22,88.138,75.83666667,27.36272727,29.20916667,47.74,78.468,22.42909091,276.86,108.395,115.402,103.336,67.4365,55.32538462,70.65255556
npa-1,0,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0.034545455,0,0.05,0,0,0,0,0,0,0,0.005897436,0.010888889
npax-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
npax-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
